presion,temperatura,humedad,PM25,PM10,CO,CH4,CO2,O3
755,20.27,46,5.6,5.6,162.8,33.2,340.0,8.8
755,20.60,44,9.6,9.7,152.6,35.0,345.0,8.4
755,20.42,45,2.9,2.9,150.9,34.7,324.0,8.3
755,21.88,42,5.5,5.6,155.8,33.5,339.0,8.5
755,21.90,42,4.0,4.0,171.8,32.0,327.0,9.1
755,21.60,43,4.2,4.2,155.4,34.5,312.0,8.4
756,22.14,42,22.9,23.0,160.7,32.0,313.0,8.6
755,21.90,41,3.5,3.5,148.1,34.2,316.0,8.2
755,20.99,45,9.5,9.5,151.4,34.7,323.0,8.4
756,21.71,43,2.0,2.0,142.3,34.4,326.0,8.0
755,22.75,41,2.9,2.9,152.3,33.4,337.0,8.4
755,22.77,41,3.1,3.1,141.9,35.7,324.0,8.1
755,22.20,42,6.0,6.0,151.6,33.4,327.0,8.4
755,22.38,41,4.5,4.6,147.3,34.8,297.0,8.3
755,22.45,41,1.6,1.6,152.5,33.2,311.0,8.4
755,23.40,39,7.0,7.0,162.5,32.3,355.0,8.8
755,23.37,39,16.4,16.5,175.0,30.7,321.0,8.9
755,23.84,38,15.7,15.8,151.6,33.8,316.0,8.6
754,24.31,37,7.1,7.1,165.0,31.2,327.0,9.0
754,24.86,36,4.7,4.7,163.5,33.1,321.0,8.8
754,24.06,37,1.5,1.5,146.6,33.8,294.0,8.3
754,24.25,36,1.9,1.9,140.0,35.2,354.0,8.3
754,24.41,37,2.9,2.9,165.1,32.9,334.0,8.9
754,24.67,37,3.4,3.4,156.2,33.4,332.0,8.7
754,24.04,37,2.8,2.8,187.3,30.5,332.0,9.6
754,24.03,37,5.9,5.9,158.9,33.1,332.0,8.8
754,23.55,38,4.5,4.6,137.2,36.1,312.0,8.1
753,23.38,39,2.1,2.1,137.7,35.6,310.0,8.0
753,23.23,39,4.1,4.1,156.3,33.1,307.0,9.1
753,23.23,39,3.3,3.3,144.9,34.8,316.0,8.3
